cie	symbol	industry
Algonquin Power Utilities Corp	http://finance.yahoo.com/q?s=AQN.TO	Utilities
Meg Energy Corp	http://finance.yahoo.com/q?s=MEG.TO	Energy
Alamos Gold Inc Class A	http://finance.yahoo.com/q?s=AGI.TO	Materials
Finning International Inc	http://finance.yahoo.com/q?s=FTT.TO	Industrials
Crescent Point Energy Corp	http://finance.yahoo.com/q?s=CPG.TO	Energy
Northland Power Inc	http://finance.yahoo.com/q?s=NPI.TO	Utilities
Riocan Real Estate Investment Trust	http://finance.yahoo.com/q?s=REI-UN.TO	Real Estate
West Fraser Timber Ltd	http://finance.yahoo.com/q?s=WFG.TO	Materials
Colliers International Group 	http://finance.yahoo.com/q?s=CIGI.TO	Real Estate
Onex Corp	http://finance.yahoo.com/q?s=ONEX.TO	Financials
Prairiesky Royalty Ltd	http://finance.yahoo.com/q?s=PSK.TO	Energy
Empire Ltd Class A	http://finance.yahoo.com/q?s=EMP.A.TO	Consumer Staples
Boyd Group Income Inc	http://finance.yahoo.com/q?s=BYD.TO	Industrials
B2Gold Corp	http://finance.yahoo.com/q?s=BTO.TO	Materials
Enerplus Corp	http://finance.yahoo.com/q?s=ERF.TO	Energy
Granite Real Estate Investment Sta	http://finance.yahoo.com/q?s=GRT.UN.TO	Real Estate
Ats Corp	http://finance.yahoo.com/q?s=ATS.TO	Industrials
Capital Power Corp	http://finance.yahoo.com/q?s=CPX.TO	Utilities
Quebecor Inc Class B	http://finance.yahoo.com/q?s=QBR.B.TO	Communication
Kinaxis Inc	http://finance.yahoo.com/q?s=KXS.TO	Information Technology
Bombardier Inc Class B	http://finance.yahoo.com/q?s=BBD.B.TO	Industrials
Ssr Mining Inc	http://finance.yahoo.com/q?s=SSRM.TO	Materials
Baytex Energy Corp	http://finance.yahoo.com/q?s=BTE.TO	Energy
Canadian Utilities Ltd 	http://finance.yahoo.com/q?s=CU.TO	Utilities
Premium Brands Holdings Corp	http://finance.yahoo.com/q?s=PBH.TO	Consumer Staples
Methanex Corp	http://finance.yahoo.com/q?s=MX.TO	Materials
Brp	http://finance.yahoo.com/q?s=DOO.TO	Consumer Discretionary
Choice Properties Real Estate 	http://finance.yahoo.com/q?s=CHP.UN.TO	Real Estate
Dream Industrial Real Estate 	http://finance.yahoo.com/q?s=DIR.UN.TO	Real Estate
Bausch Health Companies Inc	http://finance.yahoo.com/q?s=BHC.TO	Health Care
Blackberry Ltd	http://finance.yahoo.com/q?s=BB.TO	Information Technology
Primo Water Corp	http://finance.yahoo.com/q?s=PRMW.TO	Consumer Staples
Celestica Inc	http://finance.yahoo.com/q?s=CLS.TO	Information Technology
Vermilion Energy Inc	http://finance.yahoo.com/q?s=VET.TO	Energy
Stella Jones Inc	http://finance.yahoo.com/q?s=SJ.TO	Materials
Osisko Gold Royalties Ltd	http://finance.yahoo.com/q?s=OR.TO	Materials
Tricon Residential Inc	http://finance.yahoo.com/q?s=TCN.TO	Real Estate
Lithium Americas Corp	http://finance.yahoo.com/q?s=LAC.TO	Materials
Smartcentres Rl Estate Investment	http://finance.yahoo.com/q?s=SRU.UN.TO	Real Estate
Nexgen Energy Ltd	http://finance.yahoo.com/q?s=NXE.TO	Energy
Igm Financial Inc	http://finance.yahoo.com/q?s=IGM.TO	Financials
First Capital Realty Real Estate I	http://finance.yahoo.com/q?s=FCR.UN.TO	Real Estate
Lightspeed Commerce Inc	http://finance.yahoo.com/q?s=LSPD.TO	Information Technology
Definity Financial Corp	http://finance.yahoo.com/q?s=DFY.TO	Financials
Linamar Corp	http://finance.yahoo.com/q?s=LNR.TO	Consumer Discretionary
Boralex Inc Class A	http://finance.yahoo.com/q?s=BLX.TO	Utilities
Gibson Energy Inc	http://finance.yahoo.com/q?s=GEI.TO	Energy
Transalta Corp	http://finance.yahoo.com/q?s=TA.TO	Utilities
Parex Resources Inc	http://finance.yahoo.com/q?s=PXT.TO	Energy
Ci Financial Corp	http://finance.yahoo.com/q?s=CIX.TO	Financials
H&R Real Estate Investment Trust	http://finance.yahoo.com/q?s=HR.UN.TO	Real Estate
Canadian Western Bank	http://finance.yahoo.com/q?s=CWB.TO	Financials
Atco Ltd Class I	http://finance.yahoo.com/q?s=ACO.X.TO	Utilities
Allied Properties Real Estate Invt	http://finance.yahoo.com/q?s=AP.UN.TO	Real Estate
Boardwalk Real Estate Investment 	http://finance.yahoo.com/q?s=BEI.UN.TO	Real Estate
Tilray Brands Inc	http://finance.yahoo.com/q?s=TLRY.TO	Health Care
Paramount Resource Ltd Class A	http://finance.yahoo.com/q?s=POU.TO	Energy
Chartwell Retirement Residences 	http://finance.yahoo.com/q?s=CSH.UN.TO	Health Care
Russel Metals Inc	http://finance.yahoo.com/q?s=RUS.TO	Industrials
Eldorado Gold Corp	http://finance.yahoo.com/q?s=ELD.TO	Materials
Altus Group Ltd	http://finance.yahoo.com/q?s=AIF.TO	Real Estate
Athabasca Oil Corp	http://finance.yahoo.com/q?s=ATH.TO	Energy
Secure Energy Services Inc	http://finance.yahoo.com/q?s=SES.TO	Energy
Peyto Exploration & Development Co	http://finance.yahoo.com/q?s=PEY.TO	Energy
Birchcliff Energy Ltd	http://finance.yahoo.com/q?s=BIR.TO	Energy
Capstone Copper Corp	http://finance.yahoo.com/q?s=CS.TO	Materials
Killam Apartment Reit 	http://finance.yahoo.com/q?s=KMP.UN.TO	Real Estate
Richelieu Hardware Ltd	http://finance.yahoo.com/q?s=RCH.TO	Industrials
Nuvista Energy Ltd	http://finance.yahoo.com/q?s=NVA.TO	Energy
Aritzia Subordinate 	http://finance.yahoo.com/q?s=ATZ.TO	Consumer Discretionary
Usd Cash	http://finance.yahoo.com/q?s=USD.TO	Cash and/or Derivatives
Ero Copper Corp	http://finance.yahoo.com/q?s=ERO.TO	Materials
Maple Leaf Foods Inc	http://finance.yahoo.com/q?s=MFI.TO	Consumer Staples
Oceanagold Corporation Corp	http://finance.yahoo.com/q?s=OGC.TO	Materials
Labrador Iron Ore Royalty Corp	http://finance.yahoo.com/q?s=LIF.TO	Materials
Eqb Inc	http://finance.yahoo.com/q?s=EQB.TO	Financials
Topaz Energy Corp	http://finance.yahoo.com/q?s=TPZ.TO	Energy
Innergex Renewable Energy Inc	http://finance.yahoo.com/q?s=INE.TO	Utilities
First Majestic Silver Corp	http://finance.yahoo.com/q?s=FR.TO	Materials
Hudbay Minerals Inc	http://finance.yahoo.com/q?s=HBM.TO	Materials
Exchange Income Corp	http://finance.yahoo.com/q?s=EIF.TO	Industrials
Freehold Royalties Ltd	http://finance.yahoo.com/q?s=FRU.TO	Energy
Equinox Gold Corp	http://finance.yahoo.com/q?s=EQX.TO	Materials
Interrent Real Estate Investment 	http://finance.yahoo.com/q?s=IIP.UN.TO	Real Estate
Filo Corp	http://finance.yahoo.com/q?s=FIL.TO	Materials
Sandstorm Gold Ltd	http://finance.yahoo.com/q?s=SSL.TO	Materials
Tamarack Valley Energy Ltd	http://finance.yahoo.com/q?s=TVE.TO	Energy
Cargojet Inc	http://finance.yahoo.com/q?s=CJT.TO	Industrials
Centerra Gold Inc	http://finance.yahoo.com/q?s=CG.TO	Materials
Superior Plus Corp	http://finance.yahoo.com/q?s=SPB.TO	Utilities
Dundee Precious Metals Inc	http://finance.yahoo.com/q?s=DPM.TO	Materials
Nuvei 	http://finance.yahoo.com/q?s=NVEI.TO	Financials
Laurentian Bank Of Canada	http://finance.yahoo.com/q?s=LB.TO	Financials
Advantage Energy Ltd	http://finance.yahoo.com/q?s=AAV.TO	Energy
Energy Fuels Inc	http://finance.yahoo.com/q?s=EFR.TO	Energy
Goeasy Ltd	http://finance.yahoo.com/q?s=GSY.TO	Financials
Denison Mines Corp	http://finance.yahoo.com/q?s=DML.TO	Energy
Lundin Gold Inc	http://finance.yahoo.com/q?s=LUG.TO	Materials
Crombie Real Estate Investment 	http://finance.yahoo.com/q?s=CRR.UN.TO	Real Estate
Trisura Group Ltd	http://finance.yahoo.com/q?s=TSU.TO	Financials
Northwest Healthcare Properties 	http://finance.yahoo.com/q?s=NWH.UN.TO	Real Estate
Ballard Power Systems Inc	http://finance.yahoo.com/q?s=BLDP.TO	Industrials
North West Company Inc	http://finance.yahoo.com/q?s=NWC.TO	Consumer Staples
Transalta Renewables Inc	http://finance.yahoo.com/q?s=RNW.TO	Utilities
Iamgold Corp	http://finance.yahoo.com/q?s=IMG.TO	Materials
